,date,day,HOBBIES1_CA,HOBBIES1_TX,HOBBIES1_WI,HOBBIES2_CA,HOBBIES2_TX,HOBBIES2_WI,FOODS1_CA,FOODS1_TX,FOODS1_WI,FOODS2_CA,FOODS2_TX,FOODS2_WI,FOODS3_CA,FOODS3_TX,FOODS3_WI,HOUSEHOLD1_CA,HOUSEHOLD1_TX,HOUSEHOLD1_WI,HOUSEHOLD2_CA,HOUSEHOLD2_TX,HOUSEHOLD2_WI
25,2013/1/1,Jan_2013,143831.45,96296.03,79939.76,6906.48,5777.58,4185.08,94211.09,58884.52,50022.02,154984.57,107950.78,148300.78,451879.61,290079.01,324242.52,250329.24,173380.07,169835.35,101225.89,48224.69,43711.5
26,2013/2/1,Feb_2013,149558.8,99737.56,80961.79,6738.77,5606.53,4398.04,93087.68,59495.59,52473.63,140074.44,103075.98,146422.03,416691.83,288509.22,311141.51,247882.32,200951.44,185340.02,103510.53,55839.96,46080.78
27,2013/3/1,Mar_2013,167491.87,106543.77,89728.71,6763.77,5889.1,5116.22,104222.97,61778.36,55716.2,151649.26,119331.58,158626.44,469396.74,330329.67,334569.29,292911.85,207532.08,182871.74,127765.44,67646.32,54503.7
28,2013/4/1,Apri_2013,161724.88,100472.96,80864.66,5614.28,5807.81,4360.55,83424.67,52564.8,46300.1,136477.97,87500.06,130811.5,469164.9,306640.36,285691.75,283057.37,192758.65,152159.92,133092.99,63557.71,48479.27
29,2013/5/1,May_2013,164181.41,105900.78,79260.25,6792.91,6653.98,3849.33,99641.75,57231.65,52217.93,154889.22,99571.45,134238.13,482978.16,320269.4,276246.73,302815.37,194730.32,156013.18,142176.25,64416.12,47983.94
30,2013/6/1,June_2013,170460.55,110060.42,84253.99,6917.18,5048.68,4409.12,101764.11,51748.09,50023.06,143473.15,104798.98,132752.42,533369.5,355013.47,290753.75,302541.38,196793.81,154012.4,144306.89,66046.35,46309.87
31,2013/7/1,July_2013,175700.79,106899.72,82539.88,6008.21,4523,3868.36,105997.42,56533.72,52159.09,146224.06,107521.45,126849.87,552439.67,356217.44,307744.31,323536.84,205863.96,163912.58,133033.14,60545.74,41739.37
32,2013/8/1,Aug_2013,182244.04,103183.61,85317.81,6960.27,6125.85,4902.78,113228.68,54813.48,52353.71,134609.39,101043.6,123396.74,565317.22,379615.26,311421.49,343094.88,213746.3,188870.56,133048.46,61744.76,44603.34
33,2013/9/1,Sep_2013,166471.54,95839.91,79211.22,6725.18,5648.75,3848.2,106820.05,53213.65,50712.92,130896.14,102266.81,124593.44,557245.04,357478.1,316641.84,335506.65,206237.83,176467.03,126092.53,56175.07,40065.21
34,2013/10/1,Oct_2013,173312.6,94361.16,88267.64,7829.56,7168.42,4558.56,106751.61,59832.41,53783.69,132319.96,101266.74,118274.57,565722.37,348698.14,329492.58,329235.45,209527.05,177642,124783.53,55093.76,40302.01
35,2013/11/1,Nov_2013,167529.99,92398.78,81660.08,6017.08,4794.26,3968.67,89728.61,54898.96,46417.13,137178.56,97143.36,124760.05,495900.2,306688.43,313395.84,306502.8,201044.23,164152.92,117986.46,51301.9,38892.81
36,2013/12/1,Dec_2013,173194.89,92319.84,81835.3,7434.65,5443.5,4983.34,109924.87,65859.97,59283.08,132875.88,89490.64,118621.68,484796.96,322052.33,332382.5,286992.18,185527.79,150806.98,124131.71,55651.78,41916.41
37,2014/1/1,Jan_2014,172626.87,94955.33,81648.14,7568.37,6430.08,4411.9,91677.24,53950.44,53884.26,146246.94,99992.59,127186.51,502671.97,308318.86,334451.92,295864.59,173749,157750.31,116334.74,53797.46,43503.16
38,2014/2/1,Feb_2014,148762.59,80515.93,76244.27,7020.35,6891.94,5337.37,99729.14,60042.37,53668.87,129873.46,94838.51,123219.33,468978.93,295557.4,319881.4,287459.56,197564.65,175068.36,115986.61,57873.37,49489.79
39,2014/3/1,Mar_2014,163286.59,92499.18,85763.55,7794.42,6270.14,5434.72,99125.18,58351.98,52327.22,141396.1,117357.43,132752.53,567006.98,341249.11,358906.39,329233.44,220108.33,182426.94,136177.98,66055.01,59062.26
40,2014/4/1,Apri_2014,158906.07,93246.38,81258.08,7166.42,4923.6,4208.75,100361.98,60191.08,54342.23,133242.46,100692.03,122346.16,582818.24,367529.7,335895.37,308828.86,202834.35,160230.05,128362.78,63204.54,50830.17
41,2014/5/1,May_2014,163691.04,94748.82,85535.46,7916.42,5652.1,4382.61,93761.1,57873.69,52950.5,145962.41,100145.57,128761.32,582872.2,360710.15,344169.25,310486.36,204274.59,164919.87,134683.27,66183.63,51265.26
42,2014/6/1,June_2014,170458.25,98275.25,85760.88,7020.9,4657.76,4155.57,98787.74,53802.66,54401.66,143741.97,108716.3,125672.15,560425.82,353918.46,333087.07,315824.89,207543.83,161685.33,132824.54,67291.59,51773.04
43,2014/7/1,July_2014,171420.59,97773.27,85264.96,7565.44,4747.31,4479.85,100814.37,56102.28,54051.27,138510.66,111169.59,118163.39,587860.11,367598.85,343434.96,334540.16,215365.89,176290.07,133887.91,68861.32,51422.23
44,2014/8/1,Aug_2014,176016.59,98335.99,87831.81,8325.01,6724.91,4952.29,109819.24,57746.72,53658.8,152119.11,115193.41,141945.89,587131.75,362510.43,334190.31,342424.45,222720.13,195665.86,140815.16,71782.74,55689.32
45,2014/9/1,Sep_2014,167571.35,93506.73,86554,8899.08,7412.95,4671.13,105898.7,54646.99,55111.82,158621.78,115321.18,146515.44,552335.9,330034.42,325573.78,330293.67,208124.53,176451.08,131771.09,63791.49,50168.5
46,2014/10/1,Oct_2014,171397.57,100653.05,93804,12864.31,10995.12,7990.61,106480.71,62056.64,57144.69,167199.67,122714.89,166297.08,571778.14,351734.48,352514.01,346103.11,217668.54,190106.02,127907.73,62886.03,51964.93
47,2014/11/1,Nov_2014,172609.46,100653.29,86418.8,11795.68,9961.32,7539.88,89382.69,56237.73,51218.55,174416.77,120163.2,173897.85,540456.02,326774.46,341758.74,327807.44,212473.68,175925.67,118263.36,57816.52,51372.83
48,2014/12/1,Dec_2014,178929.99,103211.63,92601.12,12275.84,10473.94,8109.32,116264.67,71683.57,64341.92,159365.37,117149.66,167310.21,491718.06,326192.6,332436.13,309557.97,204800.09,167770.74,110101.29,55875.13,48537.72
49,2015/1/1,Jan_2015,190081.1,128463.17,89951.88,9047.09,9015.64,5416.01,108992.01,66156.5,63535.69,161713.27,116490.31,178324.04,525591.01,331975.16,361292.8,315293.55,213453.07,185992.84,117455.08,58325.98,52104.72
50,2015/2/1,Feb_2015,183882.03,140029.62,91881.26,8336.36,8480.83,5401.08,101944.99,62466.9,59623.93,142174.74,106130.04,164313.66,469801.43,323299.63,334600.38,303122.38,227498.44,194512.66,116237.41,63947.24,55185.19
51,2015/3/1,Mar_2015,212612.38,171068.89,95849.54,9708.66,8963.53,6554.54,94838.33,60185.41,59322.67,160174,127679.95,176010.58,536478.44,360601.06,336531,352922.61,263652.12,200958.94,143483.61,75688.46,61610.52
52,2015/4/1,Apri_2015,204747.88,163806.02,94630.8,10210.13,7640.03,5670.55,98229.59,64817.12,64749.1,161261.6,119766.34,163807,515700.19,355239.22,331595.96,339030.9,253787.32,191947.86,144124.94,69018.43,55992.62
53,2015/5/1,May_2015,215560.97,178842.94,96823.59,11159.36,9300.59,5570.44,108870.85,66617.89,70057.75,169835.89,129116.37,167828.56,533854.83,360050.35,343393.35,371975.92,267148.01,208994.8,152298.83,75764.75,57276.73
54,2015/6/1,June_2015,207542.9,155525.1,95113.63,9887.84,6648.86,5556.84,113116.55,66065.08,72980.87,177644.07,127931.31,158982.98,535611.32,324747.29,305793.41,365601.14,248894.34,195345.09,145511.44,70160.56,55181.79
55,2015/7/1,July_2015,221912.31,157818.1,99228.8,9597.01,6631.9,5196.67,112103.57,66672,76574.83,187082.92,127142.77,159093.61,578023.04,360695.75,341510.51,394716.89,261758.14,214048.05,156379.7,77716.77,57050.14
56,2015/8/1,Aug_2015,230381.38,156702.18,98523.7,10464.32,8132.81,6159.04,119578.8,64529.75,72151.17,204276.7,134223.9,174091.44,592431.31,346582.01,324547.34,436641.9,276215.73,220637.24,162088.85,77780.2,59815.74
57,2015/9/1,Sep_2015,214290.85,145287.11,94810.83,9810.39,7401.13,5375.5,106640.38,65527.42,71056.75,204342.06,130588.48,177642.11,568670.27,318305.43,330606.1,398527.3,257011.06,212560.88,136876.62,64759.39,48788.31
58,2015/10/1,Oct_2015,227865.68,155818.55,104026.79,13568.25,11868.96,7572.5,113122.83,71169.65,71545.8,219047.27,138683.61,209684.74,603662.85,356916.56,378758.89,409069.67,258839.41,225331.26,143424.63,68659.97,51829.91
59,2015/11/1,Nov_2015,224045.67,156006.38,95606.87,11243.29,9197.38,6329.29,95871.52,61995.62,66778.83,212555.96,130709.48,199681.25,518804.61,311199.51,338876.08,383861.95,259334.67,203337.37,128876.73,62892.9,50693.55
60,2015/12/1,Dec_2015,237541.55,155474.87,103074.85,12641.07,9972.11,8204.92,122524.61,72116.91,76981.59,207057.68,133574.38,211897.63,501320.22,313159.68,345245.96,371527.08,261115.67,208123.74,133223.3,66911.6,54218
61,2016/1/1,Jan_2016,229205.18,163068.68,101391.13,9034.52,7689.26,5037.58,116080.96,72155.95,79279.55,241003.39,148013.01,241865.34,568827.78,325403.12,377563.01,389523.99,263624.1,221582.73,131574.99,68823.01,56743.26
62,2016/2/1,Feb_2016,218094.99,161168.84,103450.66,8530.73,8265.57,5616.27,110148.08,67601.73,76595.86,219933.95,141194.95,238281.46,557646.61,347425.22,384316.45,378003.43,277370.92,245106.54,133242.47,77685.37,62217.94
63,2016/3/1,Mar_2016,229383.98,158519.1,105210.61,9720.59,7678.03,6268.17,113223.7,69706.87,81733.99,230085.27,141888.78,240655.94,603454.84,373805.4,403433.11,402183.13,278385.26,230954.01,145229.85,80392.79,64424.42
64,2016/4/1,Apri_2016,228321.18,161210.67,108324.05,10414.46,8600.17,6377.35,114037.92,66960.79,82445.12,230454.85,138060.56,248885.86,632813.86,374211.26,422212.15,426575.71,272927.77,235757.4,154583.41,77747.27,66901.58
